,count,pair,word,cooccurword,alphaword
3822,1.0,"(new,absurdist)",absurdist,new,absurdistnew
3823,5.0,"(new,access)",access,new,accessnew
3824,1.0,"(new,accompanyingbowi)",accompanyingbowi,new,accompanyingbowinew
3825,2.0,"(new,ace)",ace,new,acenew
3826,1.0,"(new,adag)",adag,new,adagnew
3827,1.0,"(new,adequ)",adequ,new,adequnew
3828,1.0,"(new,adjac)",adjac,new,adjacnew
3829,4.0,"(new,adventur)",adventur,new,adventurnew
3830,1.0,"(new,advers)",advers,new,adversnew
3831,2.0,"(new,again)",again,new,againnew
3832,1.0,"(new,agn)",agn,new,agnnew
3833,1.0,"(new,agreement)",agreement,new,agreementnew
3834,1.0,"(new,airplan)",airplan,new,airplannew
3835,2.0,"(new,alarm)",alarm,new,alarmnew
3836,1.0,"(new,alexa)",alexa,new,alexanew
3837,1.0,"(new,alfr)",alfr,new,alfrnew
3838,1.0,"(new,alfredo)",alfredo,new,alfredonew
3839,2.0,"(new,allavocado)",allavocado,new,allavocadonew
3840,4.0,"(new,alongsid)",alongsid,new,alongsidnew
3841,1.0,"(new,aloud)",aloud,new,aloudnew
3842,10.0,"(new,am)",am,new,amnew
3843,2.0,"(new,am9)",am9,new,am9new
3844,51.0,"(new,american)",american,new,americannew
3845,7.0,"(new,andrew)",andrew,new,andrewnew
3846,2.0,"(new,ann)",ann,new,annnew
3847,6.0,"(new,anniversari)",anniversari,new,anniversarinew
3848,1.0,"(new,anticip)",anticip,new,anticipnew
3849,1.0,"(new,antigay)",antigay,new,antigaynew
3850,1.0,"(new,antipastobar)",antipastobar,new,antipastobarnew
3851,4.0,"(new,antiqu)",antiqu,new,antiqunew
3852,1.0,"(new,ari)",ari,new,arinew
3853,3.0,"(new,articl)",articl,new,articlnew
3854,5.0,"(new,artist)",artist,new,artistnew
3855,1.0,"(new,asexpans)",asexpans,new,asexpansnew
3856,1.0,"(new,asianamerican)",asianamerican,new,asianamericannew
3857,8.0,"(new,associ)",associ,new,associnew
3858,2.0,"(new,assort)",assort,new,assortnew
3859,6.0,"(new,astoria)",astoria,new,astorianew
3860,12.0,"(new,at)",at,new,atnew
3861,2.0,"(new,audio)",audio,new,audionew
3862,11.0,"(new,aug)",aug,new,augnew
3863,1.0,"(new,august)",august,new,augustnew
3864,1.0,"(new,awar)",awar,new,awarnew
3865,2.0,"(new,awardwin)",awardwin,new,awardwinnew
3866,14.0,"(new,away)",away,new,awaynew
3867,12.0,"(new,bake)",bake,new,bakenew
3868,1.0,"(new,bakula)",bakula,new,bakulanew
3869,2.0,"(new,ballad)",ballad,new,balladnew
3870,1.0,"(new,basement)",basement,new,basementnew
3871,4.0,"(new,basic)",basic,new,basicnew
3872,1.0,"(new,batard)",batard,new,batardnew
3873,1.0,"(new,bauer)",bauer,new,bauernew
3874,1.0,"(new,beachi)",beachi,new,beachinew
3875,2.0,"(new,beat)",beat,new,beatnew
3876,2.0,"(new,becca)",becca,new,beccanew
3877,1.0,"(new,beij)",beij,new,beijnew
3878,2.0,"(new,benishay)",benishay,new,benishaynew
3879,1.0,"(new,bernardin)",bernardin,new,bernardinnew
3880,1.0,"(new,bestknown)",bestknown,new,bestknownnew
3881,1.0,"(new,bestsel)",bestsel,new,bestselnew
3882,5.0,"(new,billi)",billi,new,billinew
3883,1.0,"(new,birth)",birth,new,birthnew
3884,7.0,"(new,bit)",bit,new,bitnew
3885,1.0,"(new,blackish)",blackish,new,blackishnew
3886,1.0,"(new,blatti)",blatti,new,blattinew
3887,2.0,"(new,bless)",bless,new,blessnew
3888,10.0,"(new,blood)",blood,new,bloodnew
3889,1.0,"(new,bloomberg)",bloomberg,new,bloombergnew
3890,1.0,"(new,blossom)",blossom,new,blossomnew
3891,2.0,"(new,boardwalk)",boardwalk,new,boardwalknew
3892,1.0,"(new,bob)",bob,new,bobnew
3893,2.0,"(new,bobbi)",bobbi,new,bobbinew
3894,1.0,"(new,bollywood)",bollywood,new,bollywoodnew
3895,1.0,"(new,bologna)",bologna,new,bolognanew
3896,1.0,"(new,bolyard)",bolyard,new,bolyardnew
3897,3.0,"(new,bombay)",bombay,new,bombaynew
3898,1.0,"(new,bookshelv)",bookshelv,new,bookshelvnew
3899,1.0,"(new,boon)",boon,new,boonnew
3900,5.0,"(new,boozi)",boozi,new,boozinew
3901,3.0,"(new,boqueria)",boqueria,new,boquerianew
3902,2.0,"(new,bore)",bore,new,borenew
3903,1.0,"(new,borl)",borl,new,borlnew
3904,1.0,"(new,bow)",bow,new,bownew
3905,2.0,"(new,bradley)",bradley,new,bradleynew
3906,2.0,"(new,brain)",brain,new,brainnew
3907,1.0,"(new,brandon)",brandon,new,brandonnew
3908,2.0,"(new,brassacc)",brassacc,new,brassaccnew
3909,1.0,"(new,breed)",breed,new,breednew
3910,3.0,"(new,breuer)",breuer,new,breuernew
3911,8.0,"(new,british)",british,new,britishnew
3912,3.0,"(new,brodo)",brodo,new,brodonew
3913,9.0,"(new,brown)",brown,new,brownnew
3914,2.0,"(new,built)",built,new,builtnew
3915,1.0,"(new,bulk)",bulk,new,bulknew
3916,1.0,"(new,burlesqu)",burlesqu,new,burlesqunew
3917,3.0,"(new,bus)",bus,new,busnew
3918,1.0,"(new,cabl)",cabl,new,cablnew
3919,6.0,"(new,can)",can,new,cannew
3920,1.0,"(new,cantones)",cantones,new,cantonesnew
3921,5.0,"(new,capitol)",capitol,new,capitolnew
3922,1.0,"(new,captur)",captur,new,capturnew
3923,2.0,"(new,caramel)",caramel,new,caramelnew
3924,1.0,"(new,carmel)",carmel,new,carmelnew
3925,1.0,"(new,carpaccio)",carpaccio,new,carpaccionew
3926,1.0,"(new,carpet)",carpet,new,carpetnew
3927,2.0,"(new,carri)",carri,new,carrinew
3928,7.0,"(new,cart)",cart,new,cartnew
3929,1.0,"(new,cashstrap)",cashstrap,new,cashstrapnew
3930,11.0,"(new,catch)",catch,new,catchnew
3931,6.0,"(new,cbd)",cbd,new,cbdnew
3932,2.0,"(new,celeri)",celeri,new,celerinew
3933,2.0,"(new,cervena)",cervena,new,cervenanew
3934,7.0,"(new,chain)",chain,new,chainnew
3935,1.0,"(new,champ)",champ,new,champnew
3936,6.0,"(new,champagn)",champagn,new,champagnnew
3937,1.0,"(new,cheap)",cheap,new,cheapnew
3938,1.0,"(new,cheney)",cheney,new,cheneynew
3939,12.0,"(new,chicken)",chicken,new,chickennew
3940,1.0,"(new,chock)",chock,new,chocknew
3941,1.0,"(new,chomp)",chomp,new,chompnew
3942,1.0,"(new,chophous)",chophous,new,chophousnew
3943,1.0,"(new,chose)",chose,new,chosenew
3944,2.0,"(new,cinemat)",cinemat,new,cinematnew
