,count,pair,word,cooccurword,alphaword
6412,1.0,"(citi,dutch)",citi,dutch,citidutch
6413,1.0,"(citi,easili)",citi,easili,citieasili
6414,13.0,"(citi,econom)",citi,econom,citieconom
6415,2.0,"(citi,emiss)",citi,emiss,citiemiss
6416,1.0,"(citi,empti)",citi,empti,citiempti
6417,4.0,"(citi,experi)",citi,experi,citiexperi
6418,1.0,"(citi,experienc)",citi,experienc,citiexperienc
6419,1.0,"(citi,explod)",citi,explod,citiexplod
6420,3.0,"(citi,explor)",citi,explor,citiexplor
6421,6.0,"(citi,face)",citi,face,citiface
6422,1.0,"(citi,fairey)",citi,fairey,citifairey
6423,1.0,"(citi,fastestshrink)",citi,fastestshrink,citifastestshrink
6424,1.0,"(citi,fed)",citi,fed,citifed
6425,1.0,"(citi,feel)",citi,feel,citifeel
6426,2.0,"(citi,fight)",citi,fight,citifight
6427,1.0,"(citi,firstofitskind)",citi,firstofitskind,citifirstofitskind
6428,1.0,"(citi,fit)",citi,fit,citifit
6429,1.0,"(citi,fleme)",citi,fleme,citifleme
6430,7.0,"(citi,food)",citi,food,citifood
6431,1.0,"(citi,foreclos)",citi,foreclos,citiforeclos
6432,1.0,"(citi,fortaleza)",citi,fortaleza,citifortaleza
6433,1.0,"(citi,friday)",citi,friday,citifriday
6434,1.0,"(citi,fullscal)",citi,fullscal,citifullscal
6435,1.0,"(citi,garreaus)",citi,garreaus,citigarreaus
6436,1.0,"(citi,garrick)",citi,garrick,citigarrick
6437,2.0,"(citi,gear)",citi,gear,citigear
6438,4.0,"(citi,giant)",citi,giant,citigiant
6439,1.0,"(citi,glimps)",citi,glimps,citiglimps
6440,2.0,"(citi,goal)",citi,goal,citigoal
6441,1.0,"(citi,greet)",citi,greet,citigreet
6442,1.0,"(citi,guid)",citi,guid,citiguid
6443,1.0,"(citi,gunmen)",citi,gunmen,citigunmen
6444,3.0,"(citi,handl)",citi,handl,citihandl
6445,1.0,"(citi,harass)",citi,harass,citiharass
6446,3.0,"(citi,haven)",citi,haven,citihaven
6447,1.0,"(citi,healthier)",citi,healthier,citihealthier
6448,3.0,"(citi,higher)",citi,higher,citihigher
6449,1.0,"(citi,hip)",citi,hip,citihip
6450,7.0,"(citi,histor)",citi,histor,citihistor
6451,8.0,"(citi,home)",citi,home,citihome
6452,2.0,"(citi,homegrown)",citi,homegrown,citihomegrown
6453,1.0,"(citi,hometown)",citi,hometown,citihometown
