,count,pair,word,cooccurword,alphaword
316,1.0,"(dont,taco)",dont,taco,donttaco
317,16.0,"(dont,take)",dont,take,donttake
318,3.0,"(dont,taken)",dont,taken,donttaken
319,3.0,"(dont,talent)",dont,talent,donttalent
320,3.0,"(dont,team)",dont,team,dontteam
321,1.0,"(dont,thegeorgeyou)",dont,thegeorgeyou,dontthegeorgeyou
322,1.0,"(dont,themast)",dont,themast,dontthemast
323,2.0,"(dont,these)",dont,these,dontthese
324,1.0,"(dont,theyv)",dont,theyv,donttheyv
325,1.0,"(dont,through)",dont,through,dontthrough
326,1.0,"(dont,toff)",dont,toff,donttoff
327,1.0,"(dont,topherjaim)",dont,topherjaim,donttopherjaim
328,1.0,"(dont,trade)",dont,trade,donttrade
329,1.0,"(dont,trainthey)",dont,trainthey,donttrainthey
330,1.0,"(dont,treat)",dont,treat,donttreat
331,2.0,"(dont,truth)",dont,truth,donttruth
332,1.0,"(dont,turn)",dont,turn,dontturn
333,1.0,"(dont,type)",dont,type,donttype
334,1.0,"(dont,unbeknownst)",dont,unbeknownst,dontunbeknownst
335,1.0,"(dont,unfair)",dont,unfair,dontunfair
336,1.0,"(dont,utd)",dont,utd,dontutd
337,1.0,"(dont,vacat)",dont,vacat,dontvacat
338,2.0,"(dont,view)",dont,view,dontview
339,2.0,"(dont,waist)",dont,waist,dontwaist
340,1.0,"(dont,walshbag)",dont,walshbag,dontwalshbag
341,57.0,"(dont,want)",dont,want,dontwant
342,1.0,"(dont,weed)",dont,weed,dontweed
343,8.0,"(dont,week)",dont,week,dontweek
344,4.0,"(dont,weight)",dont,weight,dontweight
345,1.0,"(dont,welfar)",dont,welfar,dontwelfar
346,1.0,"(dont,willholden13)",dont,willholden13,dontwillholden13
347,1.0,"(dont,winner)",dont,winner,dontwinner
348,4.0,"(dont,wont)",dont,wont,dontwont
349,2.0,"(dont,woo)",dont,woo,dontwoo
350,1.0,"(dont,wouldv)",dont,wouldv,dontwouldv
351,1.0,"(dont,wsj)",dont,wsj,dontwsj
352,1.0,"(dont,wvtm13)",dont,wvtm13,dontwvtm13
353,12.0,"(dont,year)",dont,year,dontyear
354,11.0,"(dont,yet)",dont,yet,dontyet
355,1.0,"(dont,youv)",dont,youv,dontyouv
356,1.0,"(dont,yvesdarbouz)",dont,yvesdarbouz,dontyvesdarbouz
357,226.0,"(get,)",,get,get
358,4.0,"(get,100)",100,get,100get
359,4.0,"(get,16)",16,get,16get
360,3.0,"(get,2018)",2018,get,2018get
361,1.0,"(get,212)",212,get,212get
